기간,육지,제주,통합,BLMP
Dec.23,131.05,137.04,131.12,0
Nov.23,120.82,123.37,120.85,0
Oct.23,136.73,163.17,137.01,0
Sep.23,140.93,162.47,141.19,0
Aug.23,146.91,173.17,147.22,0
Jul.23,153.39,164.72,153.52,0
Jun.23,147.12,147.71,147.13,0
May.23,143.64,143.07,143.64,0
Apr.23,164.87,163.87,164.86,0
Mar.23,215.87,218.2,215.9,0
Feb.23,253.48,260.27,253.56,0
Jan.23,240.73,247.55,240.81,0
Dec.22,267.55,275.15,267.63,0
Nov.22,242.17,243.97,242.19,0
Oct.22,251.61,255.03,251.65,0
Sep.22,233.37,238.44,233.42,0
Aug.22,196.02,340.91,197.74,0
Jul.22,150.6,261.31,151.85,0
Jun.22,128.84,214.32,129.72,0
May.22,139.06,263.73,140.34,0
Apr.22,201.58,250.33,202.11,0
Mar.22,192.34,229.05,192.75,0
Feb.22,196.93,229.85,197.32,0
Jan.22,153.82,206.86,154.42,0
Dec.21,142.46,175.72,142.81,0
Nov.21,126.83,149.77,127.06,0
Oct.21,107.53,130.14,107.76,0
Sep.21,98.21,149.31,98.77,0
Aug.21,93.41,153.23,94.07,0
Jul.21,87.04,133.68,87.54,0
Jun.21,82.72,121.49,83.11,0
May.21,78.93,95.39,79.1,0
Apr.21,75.97,111,76.35,0
Mar.21,83.78,124.79,84.22,0
Feb.21,75.25,92.84,75.44,0
Jan.21,70.47,87.75,70.65,0